Simulation Count,Average Cost,Error,Percent Error,,
526000,25514.491255,1.0946572638,0.0042903355,,
527000,25533.325617,19.9290192638,0.0780510129,,
528000,25503.152083,10.2445147362,0.0401696022,,
529000,25491.414934,21.9816637362,0.0862316344,,
530000,25536.939811,23.5432132638,0.0921927742,,
531000,25526.932768,13.5361702638,0.0530270142,,
532000,25518.442105,5.0455072638,0.0197720035,,
533000,25509.465478,3.9311197362,0.0154104355,,
534000,25493.524157,19.8724407362,0.0779509361,,
535000,25512.666355,0.7302427362,0.0028622753,,
536000,25483.735075,29.6615227362,0.1163939377,,
537000,25505.545996,7.8506017362,0.0307799791,,
538000,25497.466171,15.9304267362,0.0624784699,,
539000,25513.349351,0.0472467362,0.0001851844,,
540000,25520.976111,7.5795132638,0.0296991511,,
541000,25514.02366,0.6270622638,0.0024577161,,
542000,25522.486347,9.0897492638,0.0356146699,,
543000,25496.929098,16.4674997362,0.0645862083,,
544000,25545.517463,32.1208652638,0.1257397323,,
545000,25504.733945,8.6626527362,0.0339648818,,
546000,25513.485897,0.0892992638,0.0003500081,,
547000,25515.109689,1.7130912638,0.0067140266,,
548000,25483.173358,30.2232397362,0.1186007697,,
549000,25524.176685,10.7800872638,0.042234809,,
550000,25558.145636,44.7490382638,0.1750871871,,
551000,25494.73902,18.6575777362,0.0731820699,,
552000,25509.531159,3.8654387362,0.0151529196,,
553000,25532.745389,19.3487912638,0.0757803008,,
554000,25521.734657,8.3380592638,0.0326704253,,
555000,25538.202703,24.8061052638,0.0971333243,,
556000,25500.861691,12.5349067362,0.049154836,,
557000,25481.409695,31.9869027362,0.1255303498,,
558000,25526.982079,13.5854812638,0.0532200838,,
559000,25516.373166,2.9765682638,0.0116653266,,
560000,25528.153393,14.7567952638,0.0578059644,,
561000,25527.314617,13.9180192638,0.0545220658,,
562000,25523.82242,10.4258222638,0.0408474173,,
563000,25518.399645,5.0030472638,0.0196056466,,
564000,25508.283511,5.1130867362,0.0200448091,,
565000,25534.175221,20.7786232638,0.081375737,,
